category,gi,gl,name
cheese,42,5,Nestlé Combo mousse
cheese,46,6,Nestlé Milo flavored mousse
cheese,36,4,"Butterscotch, 1.9% fat mousse, prepared from commercial mousse mix with water"
cheese,31,3,"Chocolate, 2% fat mousse, prepared from commercial mousse mix with water"
cheese,47,14,"Citrus, reduced-fat mousse, prepared from commercial mousse mix with water"
cheese,36,4,"Hazelnut, 2.4% fat mousse, prepared from commercial mousse mix with water"
cheese,33,4,"Mango, 1.8% fat mousse, prepared from commercial mousse mix with water"
cheese,36,4,"Mixed berry, 2.2% fat mousse, prepared from commercial mousse mix with water"
cheese,32,3,"Strawberry, 2.3% fat mousse, prepared from commercial mousse mix with water"
cheese,47,7,"Chocolate pudding, instant, made from powder and whole milk"
cheese,40,6,"Vanilla pudding, instant, made from powder and whole milk"
cheese,52,20,"Le Rice®, Apple & Cinnamon flavor pudding, made from dairy and rice, Yoplait™"
cheese,45,18,"Le Rice®, Apricot & Almond Muesli flavor pudding, made from dairy and rice, Yoplait™ "
cheese,41,16,"Le Rice®, Caramel flavor pudding, made from dairy and rice, Yoplait™ "
cheese,45,16,"Le Rice®, Forest Berries flavor pudding, made from dairy and rice, Yoplait™ "
cheese,52,20,"Le Rice®, Raspberry & Apple flavor pudding, made from dairy and rice, Yoplait™ "
cheese,54,21,"Le Rice®, Strawberry flavor pudding, made from dairy and rice, Yoplait™ "
cheese,54,20,"Le Rice®, Tropical Mango flavor pudding, made from dairy and rice, Yoplait™ "
cheese,43,16,"Le Rice®, Vanilla flavor pudding, made from dairy and rice, Yoplait™"
cheese,26,3,Jalna Bush Honey Bio Dynamic yoghurt
cheese,18,3,Jalna Premium Vanilla Creamy yoghurt
cheese,17,2,"Yoghurt, black cherry"
cheese,67,8,"Yoghurt, black cherry"
cheese,64,20,"Yoghurt, bourbon vanilla"
cheese,49,19,"Yoghurt, champagne rhubarb"
cheese,37,13,"Yoghurt, Devonshire fudge"
cheese,36,12,"Yoghurt, Greek style, honey topped"
cheese,67,30,"Yoghurt, lemon curd"
cheese,42,17,"Yoghurt, orange blossom"
cheese,28,5,"Yoghurt, peach & apricot"
cheese,57,18,"Yoghurt, peach melba"
cheese,43,7,"Yoghurt, raspberry"
cheese,35,4,"Yoghurt, red fruit: Morello cherry"
cheese,37,5,"Yoghurt, red fruit: raspberry and black cherry"
cheese,42,11,"Yoghurt, red fruit: raspberry and cranberry"
cheese,32,13,"Yoghurt, Scottish raspberry"
cheese,30,5,"Yoghurt, strawberry"
